?x	?p	?label
<http://iec.ch/TC57/ns/CIM/DiagramLayout-EU#Package_DiagramLayoutProfile>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\nThis standard specifies an exchange profile for schematics with the following characteristics.\nA generic method for linking the diagram object to the domain data. Domain data and diagram layout data can be exchanged together with the domain data, or separately from each other with the assumption that domain data will have already been imported should diagram layout data be imported separately.\nIt does not require or imply a specific domain data format. Therefore, it supports domain data modelled according to the IEC 61970-301 Common information model (CIM) that is exchanged in the IEC 61970-501 format (CIM RDF schema). Diagram layout data references domain data in compliance with IEC/TR 62541-1, <i>OPC Unified Architecture</i>).\nThe intended usage of this standard is that the source of a diagram will use the standard to encode the layout of their diagram as they created it. It is then incumbent upon any receiver to supply the means of using that diagram layout in their system.\n<ul>\n<li>In the simplest situation, if the source uses Switch object placements, the receiver creates a generic Switch template in the receiver's system that will be used to render Switches (i.e. there is no exchange of Switch templates).</li>\n<li>In more complex situations, a 1:1 correspondence may not be desirable, and receivers may have to create generic transformations in order to use exchanges.</li>\n<li>However, in both situations, it is expected that once an investment is made in a strategy for rendering, repeated imports may be carried out automatically.</li>\n</ul>\nSupports the exchange of diagram objects that have no relationship to domain data, i.e., pure static background objects.\nSupports multiple representations of the same domain object in the same or different diagrams.\nAllows the diagram to be used as the unit of exchange, providing a straightforward approach to partial exchange, or an exchange between systems that have a separate model and repository for diagram layout data. \nSupports assignment of diagram objects to layers or other means, for showing or hiding information based on zoom level and/or user interest.\nA generic method for proprietary extensions to enable full round tripping (export and import back into the same system) without information loss within a system, and without breaking the standard exchange format.\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_DiscontinuousExcitationControlDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\nIn certain system configurations, continuous excitation control with terminal voltage and power system stabilizing regulator input signals does not ensure that the potential of the excitation system for improving system stability is fully exploited. For these situations, discontinuous excitation control signals can be employed to enhance stability following large transient disturbances.\n<font color=\"#0f0f0f\">For additional information please refer to IEEE 421.5-2005, 12.</font>\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_Domain>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\nThe domain package defines primitive datatypes that are used by classes in other packages. Stereotypes are used to describe the datatypes. The following stereotypes are defined:\n&lt;&lt;enumeration&gt;&gt; A list of permissible constant values.\n&lt;&lt;Primitive&gt;&gt; The most basic data types used to compose all other data types.\n&lt;&lt;CIMDatatype&gt;&gt; A datatype that contains a value attribute, an optional unit of measure and a unit multiplier. The unit and multiplier may be specified as a static variable initialized to the allowed value.\n&lt;&lt;Compound&gt;&gt; A composite of Primitive, enumeration, CIMDatatype or other Compound classes, as long as the Compound classes do not recurse.\nFor all datatypes both positive and negative values are allowed unless stated otherwise for a particular datatype. \n\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_ExcitationSystemDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\nThe excitation system model provides the field voltage (<i>Efd</i>) for a synchronous machine model.  It is linked to a specific generator (synchronous machine). \nThe representation of all limits used by the models (not including IEEE standard models) shall comply with the representation defined in the Annex E of the IEEE 421.5-2005, unless specified differently in the documentation of the model.\nThe parameters are different for each excitation system model; the same parameter name can have different meaning in different models.\n\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_OverexcitationLimiterDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"Overexcitation limiters (OELs) are also referred to as <i>maximum excitation limiters </i>and <i>field current limiters. </i>The possibility of voltage collapse in stressed power systems increases the importance of modelling these limiters in studies of system conditions that cause machines to operate at high levels of excitation for a sustained period, such as voltage collapse or system-islanding. Such events typically occur over a long time frame compared with transient or small-signal stability simulations."@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_PFVArControllerType1Dynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\n<font color=\"#0f0f0f\">Excitation systems for synchronous machines are sometimes supplied with an optional means of automatically adjusting generator output reactive power (VAr) or power factor (PF) to a user-specified value. This can be accomplished with either a reactive power or power factor controller or regulator.  A reactive power or power factor controller is defined as a PF/VAr controller in IEEE 421.1 as “a control function that acts through the reference adjuster to modify the voltage regulator set point to maintain the synchronous machine steady-state power factor or reactive power at a predetermined value.” </font>\n<font color=\"#0f0f0f\">For additional information please refer to IEEE 421.5-2005, 11.</font>\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_PFVArControllerType2Dynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\n<font color=\"#0f0f0f\">A var/pf regulator is defined as “a synchronous machine regulator that functions to maintain the power factor or reactive component of power at a predetermined value.”  </font>\n<font color=\"#0f0f0f\">For additional information please refer to IEEE 421.5-2005, 11.</font>\n<font color=\"#0f0f0f\">\n</font>\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_PowerSystemStabilizerDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"The power system stabilizer (PSS) model provides an input (<i>Vs</i>) to the excitation system model to improve damping of system oscillations.  A variety of input signals can be used depending on the particular design."@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_TurbineGovernorDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\nThe turbine-governor model is linked to one or two synchronous generators and determines the shaft mechanical power (<i>Pm</i>) or torque (<i>Tm</i>) for the generator model.  \nUnlike IEEE standard models for other function blocks, the three IEEE turbine-governor standard models (GovHydroIEEE0, GovHydroIEEE2, and GovSteamIEEE1) are documented in IEEE Transactions, not in IEEE standards. For that reason, diagrams are supplied for those models.\nA 2012 IEEE report, <i><u>Dynamic Models for Turbine-Governors in Power System Studies</u></i>, provides updated information on a variety of models including IEEE, vendor and reliability authority models.  Fully incorporating the results of that report into the CIM dynamics model is a future effort.\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_UserDefinedModels>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\nThis subclause contains user-defined dynamic model classes to support the exchange of both proprietary and explicitly defined user-defined models.  \n<u>Proprietary models</u> represent behaviour which, while not defined by a standard model class, is mutually understood by the sending and receiving applications based on the name passed in the .name attribute of the appropriate xxxUserDefined class.  Proprietary model parameters are passed as general attributes using as many instances of the ProprietaryParameterDynamics class as there are parameters.\n<u>Explicitly defined models</u> describe dynamic behaviour in detail in terms of control blocks and their input and output signals.  Note that the classes to support explicitly defined modelling are not currently defined - it is future work intended to also be supported by the family of xxxUserDefined classes.\nBoth types of user-defined models use the family of xxxUserDefined classes, which allow a user-defined model to be used:\n- as the model for an individual standard function block (such as a turbine-governor or power system stabilizer) in a standard interconnection model whose other function blocks could be either standard or user-defined.  For an illustration of this form of usage for a proprietary model, see the ExampleFunctionBlockProprietaryModel diagram in subclause 5.5.\n- as the complete representation of a dynamic behaviour model (for an entire synchronous machine, for example) where standard function blocks and standard interconnections are not used at all. For an illustration of this form of usage for a proprietary model, see the ExampleCompleteProprietaryModel diagram in subclause 5.5.\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_VoltageAdjusterDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\n<font color=\"#0f0f0f\">A voltage adjuster is a reference adjuster that uses inputs from a reactive power or power factor controller to modify the voltage regulator set point to maintain the synchronous machine steady-state power factor or reactive power at a predetermined value. </font>\n<font color=\"#0f0f0f\">For additional information please refer to IEEE 421.5-2005, 11.</font>\n\t"@en
<http://iec.ch/TC57/ns/CIM/Dynamics-EU#Package_VoltageCompensatorDynamics>	<http://www.w3.org/2000/01/rdf-schema#comment>	"\n<font color=\"#0f0f0f\">Synchronous machine terminal voltage transducer and current compensator models</font> adjust the terminal voltage feedback to the excitation system by adding a quantity that is proportional to the terminal current of the generator.  It is linked to a specific generator (synchronous machine).\n<font color=\"#0f0f0f\">Several types of compensation are available on most excitation systems. Synchronous machine active and reactive current compensation are the most common. Either reactive droop compensation and/or line-drop compensation can be used, simulating an impedance drop and effectively regulating at some point other than the terminals of the machine. The impedance or range of adjustment and type of compensation should be specified for different types. </font>\n<font color=\"#0f0f0f\">Care shall be taken to ensure that a consistent PU system is utilized for the compensator parameters and the synchronous machine current base.</font>\n<font color=\"#0f0f0f\">For further information see IEEE 421.5-2005, 4.</font>\n\n\n<font color=\"#0f0f0f\">\n</font>\n\t"@en
<http://iec.ch/TC57/CIM100#UnitSymbol.W>	<http://www.w3.org/2004/02/skos/core#definition>	"Real power in watts (J/s). Electrical power may have real and reactive components. The real portion of electrical power (I&#178;R or VIcos(phi)), is expressed in Watts. See also apparent power and reactive power."@en
<http://iec.ch/TC57/CIM100#UnitSymbol.sPers>	<http://www.w3.org/2004/02/skos/core#definition>	"Time, Ratio of time.  Note: Users may need to supply a prefix such as ‘&#181;’ to show rates such as ‘&#181;s/s’."@en
<http://iec.ch/TC57/CIM100#AsynchronousMachineDynamics>	<http://www.w3.org/2004/02/skos/core#definition>	"\nAsynchronous machine whose behaviour is described by reference to a standard model expressed in either time constant reactance form or equivalent circuit form <font color=\"#0f0f0f\">or by definition of a user-defined model.</font>\nParameter details:\n<ol>\n<li>Asynchronous machine parameters such as <i>Xl, Xs,</i> etc. are actually used as inductances in the model, but are commonly referred to as reactances since, at nominal frequency, the PU values are the same. However, some references use the symbol <i>L</i> instead of <i>X</i>.</li>\n</ol>\n\t"@en
<http://iec.ch/TC57/CIM100#AsynchronousMachineEquivalentCircuit>	<http://www.w3.org/2004/02/skos/core#definition>	"\nThe electrical equations of all variations of the asynchronous model are based on the AsynchronousEquivalentCircuit diagram for the direct- and quadrature- axes, with two equivalent rotor windings in each axis.  \nEquations for conversion between equivalent circuit and time constant reactance forms:\n<i>Xs</i> = <i>Xm</i> + <i>Xl</i>\n<i>X'</i> = <i>Xl</i> + <i>Xm</i> x <i>Xlr1 </i>/ (<i>Xm </i>+ <i>Xlr1</i>)\n<i>X''</i> = <i>Xl</i> + <i>Xm</i> x <i>Xlr1</i> x <i>Xlr2</i> / (<i>Xm</i> x <i>Xlr1</i> + <i>Xm</i> x <i>Xlr2</i> + <i>Xlr1</i> x <i>Xlr2</i>)\n<i>T'o</i> = (<i>Xm</i> + <i>Xlr1</i>) / (<i>omega</i><i><sub>0</sub></i> x <i>Rr1</i>)\n<i>T''o</i> = (<i>Xm</i> x <i>Xlr1</i> + <i>Xm</i> x <i>Xlr2</i> + <i>Xlr1</i> x <i>Xlr2</i>) / (<i>omega</i><i><sub>0</sub></i> x <i>Rr2</i> x (<i>Xm</i> + <i>Xlr1</i>)\nSame equations using CIM attributes from AsynchronousMachineTimeConstantReactance class on left of \"=\" and AsynchronousMachineEquivalentCircuit class on right (except as noted):\nxs = xm + RotatingMachineDynamics.statorLeakageReactance\nxp = RotatingMachineDynamics.statorLeakageReactance + xm x xlr1 / (xm + xlr1)\nxpp = RotatingMachineDynamics.statorLeakageReactance + xm x xlr1 x xlr2 / (xm x xlr1 + xm x xlr2 + xlr1 x xlr2)\ntpo = (xm + xlr1) / (2 x pi x nominal frequency x rr1)\ntppo = (xm x xlr1 + xm x xlr2 + xlr1 x xlr2) / (2 x pi x nominal frequency x rr2 x (xm + xlr1).\n\t"@en
<http://iec.ch/TC57/CIM100#AsynchronousMachineTimeConstantReactance>	<http://www.w3.org/2004/02/skos/core#definition>	"\nParameter details:\n<ol>\n<li>If <i>X'' </i>=<i> X'</i>, a single cage (one equivalent rotor winding per axis) is modelled.</li>\n<li>The “<i>p</i>” in the attribute names is a substitution for a “prime” in the usual parameter notation, e.g. <i>tpo</i> refers to <i>T'o</i>.</li>\n</ol>\nThe parameters used for models expressed in time constant reactance form include:\n- RotatingMachine.ratedS (<i>MVAbase</i>);\n- RotatingMachineDynamics.damping (<i>D</i>);\n- RotatingMachineDynamics.inertia (<i>H</i>);\n- RotatingMachineDynamics.saturationFactor (<i>S1</i>);\n- RotatingMachineDynamics.saturationFactor120 (<i>S12</i>);\n- RotatingMachineDynamics.statorLeakageReactance (<i>Xl</i>);\n- RotatingMachineDynamics.statorResistance (<i>Rs</i>);\n- .xs (<i>Xs</i>);\n- .xp (<i>X'</i>);\n- .xpp (<i>X''</i>);\n- .tpo (<i>T'o</i>);\n- .tppo (<i>T''o</i>).\n\t"@en
<http://iec.ch/TC57/CIM100#CSCDynamics>	<http://www.w3.org/2004/02/skos/core#definition>	"CSC function block whose behaviour is described by reference to a standard model <font color=\"#0f0f0f\">or by definition of a user-defined model.</font>"@en
<http://iec.ch/TC57/CIM100#HVDCDynamics>	<http://www.w3.org/2004/02/skos/core#definition>	"HVDC whose behaviour is described by reference to a standard model <font color=\"#0f0f0f\">or by definition of a user-defined model.</font>"@en
<http://iec.ch/TC57/CIM100#CSCUserDefined>	<http://www.w3.org/2004/02/skos/core#definition>	"Current source converter (CSC) function block whose dynamic behaviour is described by <font color=\"#0f0f0f\">a user-defined model.</font>"@en
<http://iec.ch/TC57/CIM100#CrossCompoundTurbineGovernorDynamics>	<http://www.w3.org/2004/02/skos/core#definition>	"Turbine-governor cross-compound function block whose behaviour is described by reference to a standard model <font color=\"#0f0f0f\">or by definition of a user-defined model.</font>"@en
<http://iec.ch/TC57/CIM100#DiscontinuousExcitationControlDynamics>	<http://www.w3.org/2004/02/skos/core#definition>	"Discontinuous excitation control function block whose behaviour is described by reference to a standard model <font color=\"#0f0f0f\">or by definition of a user-defined model</font>."@en
<http://iec.ch/TC57/CIM100#DiscontinuousExcitationControlUserDefined>	<http://www.w3.org/2004/02/skos/core#definition>	"Discontinuous excitation control function block whose dynamic behaviour is described by <font color=\"#0f0f0f\">a user-defined model.</font>"@en
<http://iec.ch/TC57/CIM100#ExcitationSystemDynamics>	<http://www.w3.org/2004/02/skos/core#definition>	"Excitation system function block whose behaviour is described by reference to a standard model <font color=\"#0f0f0f\">or by definition of a user-defined model.</font>"@en
<http://iec.ch/TC57/CIM100#ExcIEEEAC3A>	<http://www.w3.org/2004/02/skos/core#definition>	"\nIEEE 421.5-2005 type AC3A model. The model represents the field-controlled alternator-rectifier excitation systems designated type AC3A. These excitation systems include an alternator main exciter with non-controlled rectifiers. The exciter employs self-excitation, and the voltage regulator power is derived from the exciter output voltage.  Therefore, this system has an additional nonlinearity, simulated by the use of a multiplier whose inputs are the voltage regulator command signal, <i>Va</i>, and the exciter output voltage, <i>Efd</i>, times <i>K</i><i><sub>R</sub></i>.  This model is applicable to excitation systems employing static voltage regulators.\nReference: IEEE 421.5-2005, 6.3.\n\t"@en
<http://iec.ch/TC57/CIM100#ExcIEEEAC6A>	<http://www.w3.org/2004/02/skos/core#definition>	"\nIEEE 421.5-2005 type AC6A model. The model represents field-controlled alternator-rectifier excitation systems with system-supplied electronic voltage regulators.  The maximum output of the regulator, <i>V</i><i><sub>R</sub></i>, is a function of terminal voltage, <i>V</i><i><sub>T</sub></i>. The field current limiter included in the original model AC6A remains in the 2005 update.\nReference: IEEE 421.5-2005, 6.6. \n\n\n\t"@en
<http://iec.ch/TC57/CIM100#ExcIEEEAC7B>	<http://www.w3.org/2004/02/skos/core#definition>	"\nIEEE 421.5-2005 type AC7B model. The model represents excitation systems which consist of an AC alternator with either stationary or rotating rectifiers to produce the DC field requirements. It is an upgrade to earlier AC excitation systems, which replace only the controls but retain the AC alternator and diode rectifier bridge.\nReference: IEEE 421.5-2005, 6.7. Note, however, that in IEEE 421.5-2005, the [1 / <i>sT</i><i><sub>E</sub></i>] block is shown as [1 / (1 + <i>sT</i><i><sub>E</sub></i>)], which is incorrect.\n\t"@en
<http://iec.ch/TC57/CIM100#ExcIEEEAC8B>	<http://www.w3.org/2004/02/skos/core#definition>	"\nIEEE 421.5-2005 type AC8B model. This model represents a PID voltage regulator with either a brushless exciter or DC exciter. The AVR in this model consists of PID control, with separate constants for the proportional (<i>K</i><i><sub>PR</sub></i>), integral (<i>K</i><i><sub>IR</sub></i>), and derivative (<i>K</i><i><sub>DR</sub></i>) gains. The representation of the brushless exciter (<i>T</i><i><sub>E</sub></i>, <i>K</i><i><sub>E</sub></i>, <i>S</i><i><sub>E</sub></i>, <i>K</i><i><sub>C</sub></i>, <i>K</i><i><sub>D</sub></i>) is similar to the model type AC2A. The type AC8B model can be used to represent static voltage regulators applied to brushless excitation systems. Digitally based voltage regulators feeding DC rotating main exciters can be represented with the AC type AC8B model with the parameters <i>K</i><i><sub>C</sub></i> and <i>K</i><i><sub>D</sub></i> set to 0.  For thyristor power stages fed from the generator terminals, the limits <i>V</i><i><sub>RMAX</sub></i> and <i>V</i><i><sub>RMIN</sub></i><i> </i>should be a function of terminal voltage: V<i><sub>T</sub></i> x <i>V</i><i><sub>RMAX</sub></i><sub> </sub>and <i>V</i><i><sub>T</sub></i> x <i>V</i><i><sub>RMIN</sub></i>.\nReference: IEEE 421.5-2005, 6.8. \n\t"@en
<http://iec.ch/TC57/CIM100#ExcIEEEDC2A>	<http://www.w3.org/2004/02/skos/core#definition>	"\nIEEE 421.5-2005 type DC2A model. This model represents field-controlled DC commutator exciters with continuously acting voltage regulators having supplies obtained from the generator or auxiliary bus.  It differs from the type DC1A model only in the voltage regulator output limits, which are now proportional to terminal voltage <i>V</i><i><sub>T</sub></i>.\nIt is representative of solid-state replacements for various forms of older mechanical and rotating amplifier regulating equipment connected to DC commutator exciters.\nReference: IEEE 421.5-2005, 5.2. \n\t"@en
<http://iec.ch/TC57/CIM100#ExcIEEEST5B>	<http://www.w3.org/2004/02/skos/core#definition>	"\nIEEE 421.5-2005 type ST5B model. The type ST5B excitation system is a variation of the type ST1A model, with alternative overexcitation and underexcitation inputs and additional limits.\nThe block diagram in the IEEE 421.5 standard has input signal <i>Vc </i>and does not indicate the summation point with <i>Vref</i>. The implementation of the ExcIEEEST5B shall consider summation point with <i>Vref</i>.\nReference: IEEE 421.5-2005, 7.5. \n\t"@en
<http://iec.ch/TC57/CIM100#ExcST4B>	<http://www.w3.org/2004/02/skos/core#definition>	"Modified IEEE ST4B static excitation system with maximum inner loop feedback gain <i>Vgmax</i>."@en
<http://iec.ch/TC57/CIM100#ExcST6BOELselectorKind.noOELinput>	<http://www.w3.org/2004/02/skos/core#definition>	"No OEL input is used. Corresponds to <i>OELin</i> not = 1 and not = 2 on the ExcST6B diagram. Original ExcST6B model would have called this <i>OELin</i> = 0."@en
<http://iec.ch/TC57/CIM100#ExcST6BOELselectorKind.beforeUEL>	<http://www.w3.org/2004/02/skos/core#definition>	"The connection is before UEL. Corresponds to <i>OELin</i> = 1 on the ExcST6B diagram."@en
<http://iec.ch/TC57/CIM100#ExcST6BOELselectorKind.afterUEL>	<http://www.w3.org/2004/02/skos/core#definition>	"The connection is after UEL. Corresponds to <i>OELin</i> = 2 on the ExcST6B diagram."@en
<http://iec.ch/TC57/CIM100#ExcST7BOELselectorKind.noOELinput>	<http://www.w3.org/2004/02/skos/core#definition>	"\nNo OEL input is used. Corresponds to <i>OELin</i> not = 1 and not = 2 and not = 3 on the ExcST7B diagram. Original ExcST7B model would have called this <i>OELin</i> = 0.\n\n\t"@en
<http://iec.ch/TC57/CIM100#ExcST7BOELselectorKind.addVref>	<http://www.w3.org/2004/02/skos/core#definition>	"\nThe signal is added to <i>Vref</i>.  Corresponds to <i>OELin</i> = 1 on the ExcST7B diagram.\n\n\t"@en
<http://iec.ch/TC57/CIM100#ExcST7BOELselectorKind.inputLVgate>	<http://www.w3.org/2004/02/skos/core#definition>	"The signal is connected into the input <i>LVGate</i>. Corresponds to <i>OELin</i> = 2 on the ExcST7B diagram."@en
<http://iec.ch/TC57/CIM100#ExcST7BOELselectorKind.outputLVgate>	<http://www.w3.org/2004/02/skos/core#definition>	"The signal is connected into the output <i>LVGate</i>.  Corresponds to <i>OELin</i> = 3 on the ExcST7B diagram."@en
<http://iec.ch/TC57/CIM100#ExcST7BUELselectorKind.noUELinput>	<http://www.w3.org/2004/02/skos/core#definition>	"\nNo UEL input is used.  Corresponds to <i>UELin</i> not = 1 and not = 2 and not = 3 on the ExcST7B diagram. Original ExcST7B model would have called this <i>UELin</i> = 0.\n\n\t"@en
<http://iec.ch/TC57/CIM100#ExcST7BUELselectorKind.addVref>	<http://www.w3.org/2004/02/skos/core#definition>	"\nThe signal is added to <i>Vref</i>. Corresponds to <i>UELin</i> = 1 on the ExcST7B diagram.\n\n\t"@en
<http://iec.ch/TC57/CIM100#ExcST7BUELselectorKind.inputHVgate>	<http://www.w3.org/2004/02/skos/core#definition>	"\nThe signal is connected into the input <i>HVGate</i>.  Corresponds to <i>UELin</i> = 2 on the ExcST7B diagram.\n\n\t"@en
